north_american_product_classification_system_napcs,principal_trading_partners,geo,year_month,import,export
Aircraft and other transportation equipment and parts [C21],Peru,Canada,2019,93,11545
Aircraft and other transportation equipment and parts [C21],Peru,Canada,2020,8,2568
Aircraft and other transportation equipment and parts [C21],Peru,Manitoba,2017,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Manitoba,2018,0,32
Aircraft and other transportation equipment and parts [C21],Peru,Manitoba,2019,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Manitoba,2020,0,1
Aircraft and other transportation equipment and parts [C21],Peru,New Brunswick,2017,0,0
Aircraft and other transportation equipment and parts [C21],Peru,New Brunswick,2018,0,0
Aircraft and other transportation equipment and parts [C21],Peru,New Brunswick,2019,0,0
Aircraft and other transportation equipment and parts [C21],Peru,New Brunswick,2020,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Newfoundland and Labrador,2017,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Newfoundland and Labrador,2018,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Newfoundland and Labrador,2019,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Newfoundland and Labrador,2020,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Northwest Territories,2017,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Northwest Territories,2018,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Northwest Territories,2019,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Northwest Territories,2020,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Nova Scotia,2017,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Nova Scotia,2018,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Nova Scotia,2019,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Nova Scotia,2020,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Nunavut,2017,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Nunavut,2018,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Nunavut,2019,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Nunavut,2020,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Ontario,2017,3,2219
Aircraft and other transportation equipment and parts [C21],Peru,Ontario,2018,5,955
Aircraft and other transportation equipment and parts [C21],Peru,Ontario,2019,1,1386
Aircraft and other transportation equipment and parts [C21],Peru,Ontario,2020,8,391
Aircraft and other transportation equipment and parts [C21],Peru,Prince Edward Island,2017,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Prince Edward Island,2018,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Prince Edward Island,2019,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Prince Edward Island,2020,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Quebec,2017,0,3912
Aircraft and other transportation equipment and parts [C21],Peru,Quebec,2018,11,1980
Aircraft and other transportation equipment and parts [C21],Peru,Quebec,2019,30,86
Aircraft and other transportation equipment and parts [C21],Peru,Quebec,2020,0,423
Aircraft and other transportation equipment and parts [C21],Peru,Saskatchewan,2017,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Saskatchewan,2018,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Saskatchewan,2019,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Saskatchewan,2020,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Yukon,2017,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Yukon,2018,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Yukon,2019,0,0
Aircraft and other transportation equipment and parts [C21],Peru,Yukon,2020,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Alberta,2017,18,169
Aircraft and other transportation equipment and parts [C21],Russian Federation,Alberta,2018,3,155
Aircraft and other transportation equipment and parts [C21],Russian Federation,Alberta,2019,10,23
Aircraft and other transportation equipment and parts [C21],Russian Federation,Alberta,2020,24,23114
Aircraft and other transportation equipment and parts [C21],Russian Federation,British Columbia,2017,3864,9565
Aircraft and other transportation equipment and parts [C21],Russian Federation,British Columbia,2018,5060,267
Aircraft and other transportation equipment and parts [C21],Russian Federation,British Columbia,2019,8340,115
Aircraft and other transportation equipment and parts [C21],Russian Federation,British Columbia,2020,3108,20406
Aircraft and other transportation equipment and parts [C21],Russian Federation,Canada,2017,41875,122263
Aircraft and other transportation equipment and parts [C21],Russian Federation,Canada,2018,48620,22356
Aircraft and other transportation equipment and parts [C21],Russian Federation,Canada,2019,54931,48294
Aircraft and other transportation equipment and parts [C21],Russian Federation,Canada,2020,40471,71201
Aircraft and other transportation equipment and parts [C21],Russian Federation,Manitoba,2017,157,259
Aircraft and other transportation equipment and parts [C21],Russian Federation,Manitoba,2018,1046,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Manitoba,2019,355,382
Aircraft and other transportation equipment and parts [C21],Russian Federation,Manitoba,2020,532,507
Aircraft and other transportation equipment and parts [C21],Russian Federation,New Brunswick,2017,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,New Brunswick,2018,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,New Brunswick,2019,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,New Brunswick,2020,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Newfoundland and Labrador,2017,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Newfoundland and Labrador,2018,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Newfoundland and Labrador,2019,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Newfoundland and Labrador,2020,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Northwest Territories,2017,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Northwest Territories,2018,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Northwest Territories,2019,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Northwest Territories,2020,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Nova Scotia,2017,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Nova Scotia,2018,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Nova Scotia,2019,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Nova Scotia,2020,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Nunavut,2017,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Nunavut,2018,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Nunavut,2019,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Nunavut,2020,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Ontario,2017,33888,1131
Aircraft and other transportation equipment and parts [C21],Russian Federation,Ontario,2018,38163,4225
Aircraft and other transportation equipment and parts [C21],Russian Federation,Ontario,2019,39165,13799
Aircraft and other transportation equipment and parts [C21],Russian Federation,Ontario,2020,31933,2227
Aircraft and other transportation equipment and parts [C21],Russian Federation,Prince Edward Island,2017,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Prince Edward Island,2018,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Prince Edward Island,2019,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Prince Edward Island,2020,0,310
Aircraft and other transportation equipment and parts [C21],Russian Federation,Quebec,2017,3948,111139
Aircraft and other transportation equipment and parts [C21],Russian Federation,Quebec,2018,4197,17710
Aircraft and other transportation equipment and parts [C21],Russian Federation,Quebec,2019,7057,33977
Aircraft and other transportation equipment and parts [C21],Russian Federation,Quebec,2020,4733,24639
Aircraft and other transportation equipment and parts [C21],Russian Federation,Saskatchewan,2017,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Saskatchewan,2018,154,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Saskatchewan,2019,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Saskatchewan,2020,134,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Yukon,2017,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Yukon,2018,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Yukon,2019,0,0
Aircraft and other transportation equipment and parts [C21],Russian Federation,Yukon,2020,9,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Alberta,2017,0,75
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Alberta,2018,0,26
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Alberta,2019,0,3
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Alberta,2020,0,2841
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,British Columbia,2017,0,7464
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,British Columbia,2018,0,26339
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,British Columbia,2019,4,997
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,British Columbia,2020,0,7
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Canada,2017,557,684368
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Canada,2018,12,1262488
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Canada,2019,26,2378293
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Canada,2020,17,1153595
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Manitoba,2017,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Manitoba,2018,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Manitoba,2019,0,23
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Manitoba,2020,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,New Brunswick,2017,0,302
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,New Brunswick,2018,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,New Brunswick,2019,0,95599
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,New Brunswick,2020,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Newfoundland and Labrador,2017,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Newfoundland and Labrador,2018,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Newfoundland and Labrador,2019,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Newfoundland and Labrador,2020,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Northwest Territories,2017,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Northwest Territories,2018,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Northwest Territories,2019,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Northwest Territories,2020,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Nova Scotia,2017,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Nova Scotia,2018,0,16
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Nova Scotia,2019,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Nova Scotia,2020,13,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Nunavut,2017,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Nunavut,2018,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Nunavut,2019,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Nunavut,2020,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Ontario,2017,56,675790
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Ontario,2018,3,1235200
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Ontario,2019,22,2280476
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Ontario,2020,0,1147637
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Prince Edward Island,2017,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Prince Edward Island,2018,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Prince Edward Island,2019,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Prince Edward Island,2020,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Quebec,2017,501,738
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Quebec,2018,9,905
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Quebec,2019,0,1196
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Quebec,2020,4,3108
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Saskatchewan,2017,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Saskatchewan,2018,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Saskatchewan,2019,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Saskatchewan,2020,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Yukon,2017,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Yukon,2018,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Yukon,2019,0,0
Aircraft and other transportation equipment and parts [C21],Saudi Arabia,Yukon,2020,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Alberta,2017,8,2265
Aircraft and other transportation equipment and parts [C21],Singapore,Alberta,2018,6,1438
Aircraft and other transportation equipment and parts [C21],Singapore,Alberta,2019,49,2385
Aircraft and other transportation equipment and parts [C21],Singapore,Alberta,2020,17,1529
Aircraft and other transportation equipment and parts [C21],Singapore,British Columbia,2017,6437,8558
Aircraft and other transportation equipment and parts [C21],Singapore,British Columbia,2018,678,3829
Aircraft and other transportation equipment and parts [C21],Singapore,British Columbia,2019,14154,22083
Aircraft and other transportation equipment and parts [C21],Singapore,British Columbia,2020,2320,48855
Aircraft and other transportation equipment and parts [C21],Singapore,Canada,2017,36036,269392
Aircraft and other transportation equipment and parts [C21],Singapore,Canada,2018,40909,277546
Aircraft and other transportation equipment and parts [C21],Singapore,Canada,2019,64223,329299
Aircraft and other transportation equipment and parts [C21],Singapore,Canada,2020,30875,261322
Aircraft and other transportation equipment and parts [C21],Singapore,Manitoba,2017,2086,10
Aircraft and other transportation equipment and parts [C21],Singapore,Manitoba,2018,4728,290
Aircraft and other transportation equipment and parts [C21],Singapore,Manitoba,2019,4473,4
Aircraft and other transportation equipment and parts [C21],Singapore,Manitoba,2020,1502,61
Aircraft and other transportation equipment and parts [C21],Singapore,New Brunswick,2017,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,New Brunswick,2018,4,0
Aircraft and other transportation equipment and parts [C21],Singapore,New Brunswick,2019,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,New Brunswick,2020,0,31
Aircraft and other transportation equipment and parts [C21],Singapore,Newfoundland and Labrador,2017,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Newfoundland and Labrador,2018,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Newfoundland and Labrador,2019,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Newfoundland and Labrador,2020,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Northwest Territories,2017,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Northwest Territories,2018,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Northwest Territories,2019,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Northwest Territories,2020,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Nova Scotia,2017,0,6
Aircraft and other transportation equipment and parts [C21],Singapore,Nova Scotia,2018,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Nova Scotia,2019,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Nova Scotia,2020,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Nunavut,2017,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Nunavut,2018,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Nunavut,2019,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Nunavut,2020,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Ontario,2017,7961,85561
Aircraft and other transportation equipment and parts [C21],Singapore,Ontario,2018,2209,87719
Aircraft and other transportation equipment and parts [C21],Singapore,Ontario,2019,10634,117501
Aircraft and other transportation equipment and parts [C21],Singapore,Ontario,2020,8208,77475
Aircraft and other transportation equipment and parts [C21],Singapore,Prince Edward Island,2017,0,250
Aircraft and other transportation equipment and parts [C21],Singapore,Prince Edward Island,2018,0,71
Aircraft and other transportation equipment and parts [C21],Singapore,Prince Edward Island,2019,0,1984
Aircraft and other transportation equipment and parts [C21],Singapore,Prince Edward Island,2020,0,475
Aircraft and other transportation equipment and parts [C21],Singapore,Quebec,2017,19548,172745
Aircraft and other transportation equipment and parts [C21],Singapore,Quebec,2018,33282,184199
Aircraft and other transportation equipment and parts [C21],Singapore,Quebec,2019,34913,185343
Aircraft and other transportation equipment and parts [C21],Singapore,Quebec,2020,18826,132889
Aircraft and other transportation equipment and parts [C21],Singapore,Saskatchewan,2017,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Saskatchewan,2018,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Saskatchewan,2019,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Saskatchewan,2020,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Yukon,2017,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Yukon,2018,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Yukon,2019,0,0
Aircraft and other transportation equipment and parts [C21],Singapore,Yukon,2020,0,0
Aircraft and other transportation equipment and parts [C21],South Korea,Alberta,2017,151,185
Aircraft and other transportation equipment and parts [C21],South Korea,Alberta,2018,64,4336
Aircraft and other transportation equipment and parts [C21],South Korea,Alberta,2019,256,218
Aircraft and other transportation equipment and parts [C21],South Korea,Alberta,2020,74,5633
Aircraft and other transportation equipment and parts [C21],South Korea,British Columbia,2017,269,985
Aircraft and other transportation equipment and parts [C21],South Korea,British Columbia,2018,159,2671
Aircraft and other transportation equipment and parts [C21],South Korea,British Columbia,2019,25092,967
Aircraft and other transportation equipment and parts [C21],South Korea,British Columbia,2020,18629,1147
Aircraft and other transportation equipment and parts [C21],South Korea,Canada,2017,293423,108921
Aircraft and other transportation equipment and parts [C21],South Korea,Canada,2018,156032,335396
Aircraft and other transportation equipment and parts [C21],South Korea,Canada,2019,36577,61587
Aircraft and other transportation equipment and parts [C21],South Korea,Canada,2020,766469,18058
Aircraft and other transportation equipment and parts [C21],South Korea,Manitoba,2017,965,164
Aircraft and other transportation equipment and parts [C21],South Korea,Manitoba,2018,294,143
Aircraft and other transportation equipment and parts [C21],South Korea,Manitoba,2019,182,317
Aircraft and other transportation equipment and parts [C21],South Korea,Manitoba,2020,4880,159
Aircraft and other transportation equipment and parts [C21],South Korea,New Brunswick,2017,8,0
Aircraft and other transportation equipment and parts [C21],South Korea,New Brunswick,2018,119,53
Aircraft and other transportation equipment and parts [C21],South Korea,New Brunswick,2019,1,14
Aircraft and other transportation equipment and parts [C21],South Korea,New Brunswick,2020,0,2
Aircraft and other transportation equipment and parts [C21],South Korea,Newfoundland and Labrador,2017,142598,0
Aircraft and other transportation equipment and parts [C21],South Korea,Newfoundland and Labrador,2018,145827,0
Aircraft and other transportation equipment and parts [C21],South Korea,Newfoundland and Labrador,2019,0,0
Aircraft and other transportation equipment and parts [C21],South Korea,Newfoundland and Labrador,2020,734845,0
Aircraft and other transportation equipment and parts [C21],South Korea,Northwest Territories,2017,0,0
Aircraft and other transportation equipment and parts [C21],South Korea,Northwest Territories,2018,0,0
Aircraft and other transportation equipment and parts [C21],South Korea,Northwest Territories,2019,0,0
Aircraft and other transportation equipment and parts [C21],South Korea,Northwest Territories,2020,0,0
Aircraft and other transportation equipment and parts [C21],South Korea,Nova Scotia,2017,142474,0
Aircraft and other transportation equipment and parts [C21],South Korea,Nova Scotia,2018,0,5
Aircraft and other transportation equipment and parts [C21],South Korea,Nova Scotia,2019,0,0
Aircraft and other transportation equipment and parts [C21],South Korea,Nova Scotia,2020,0,28
Aircraft and other transportation equipment and parts [C21],South Korea,Nunavut,2017,0,0
Aircraft and other transportation equipment and parts [C21],South Korea,Nunavut,2018,0,0
Aircraft and other transportation equipment and parts [C21],South Korea,Nunavut,2019,0,0
Aircraft and other transportation equipment and parts [C21],South Korea,Nunavut,2020,0,0
Aircraft and other transportation equipment and parts [C21],South Korea,Ontario,2017,3010,2240
Aircraft and other transportation equipment and parts [C21],South Korea,Ontario,2018,5708,2507
Aircraft and other transportation equipment and parts [C21],South Korea,Ontario,2019,6202,1378
Aircraft and other transportation equipment and parts [C21],South Korea,Ontario,2020,2974,1382
Aircraft and other transportation equipment and parts [C21],South Korea,Prince Edward Island,2017,0,5987
Aircraft and other transportation equipment and parts [C21],South Korea,Prince Edward Island,2018,0,0
Aircraft and other transportation equipment and parts [C21],South Korea,Prince Edward Island,2019,0,0
Aircraft and other transportation equipment and parts [C21],South Korea,Prince Edward Island,2020,0,20
Aircraft and other transportation equipment and parts [C21],South Korea,Quebec,2017,3933,99363
Aircraft and other transportation equipment and parts [C21],South Korea,Quebec,2018,3829,325677
Aircraft and other transportation equipment and parts [C21],South Korea,Quebec,2019,4841,58695
Aircraft and other transportation equipment and parts [C21],South Korea,Quebec,2020,5052,9685
Aircraft and other transportation equipment and parts [C21],South Korea,Saskatchewan,2017,17,0
Aircraft and other transportation equipment and parts [C21],South Korea,Saskatchewan,2018,26,0
Aircraft and other transportation equipment and parts [C21],South Korea,Saskatchewan,2019,1,0
Aircraft and other transportation equipment and parts [C21],South Korea,Saskatchewan,2020,14,0
Aircraft and other transportation equipment and parts [C21],South Korea,Yukon,2017,0,0
Aircraft and other transportation equipment and parts [C21],South Korea,Yukon,2018,5,0
Aircraft and other transportation equipment and parts [C21],South Korea,Yukon,2019,0,0
Aircraft and other transportation equipment and parts [C21],South Korea,Yukon,2020,0,0
Aircraft and other transportation equipment and parts [C21],Spain,Alberta,2017,792,1050
Aircraft and other transportation equipment and parts [C21],Spain,Alberta,2018,182,16220
Aircraft and other transportation equipment and parts [C21],Spain,Alberta,2019,275,5199
Aircraft and other transportation equipment and parts [C21],Spain,Alberta,2020,33,18469
Aircraft and other transportation equipment and parts [C21],Spain,British Columbia,2017,1225,2190
Aircraft and other transportation equipment and parts [C21],Spain,British Columbia,2018,6993,1013
Aircraft and other transportation equipment and parts [C21],Spain,British Columbia,2019,4090,1159
Aircraft and other transportation equipment and parts [C21],Spain,British Columbia,2020,32344,3733
Aircraft and other transportation equipment and parts [C21],Spain,Canada,2017,120927,256484
Aircraft and other transportation equipment and parts [C21],Spain,Canada,2018,54041,333384
Aircraft and other transportation equipment and parts [C21],Spain,Canada,2019,75741,69657
Aircraft and other transportation equipment and parts [C21],Spain,Canada,2020,188711,95156
Aircraft and other transportation equipment and parts [C21],Spain,Manitoba,2017,68,0
Aircraft and other transportation equipment and parts [C21],Spain,Manitoba,2018,119,13
Aircraft and other transportation equipment and parts [C21],Spain,Manitoba,2019,719,0
Aircraft and other transportation equipment and parts [C21],Spain,Manitoba,2020,536,0
Aircraft and other transportation equipment and parts [C21],Spain,New Brunswick,2017,38,0
Aircraft and other transportation equipment and parts [C21],Spain,New Brunswick,2018,25,0
Aircraft and other transportation equipment and parts [C21],Spain,New Brunswick,2019,145,0
Aircraft and other transportation equipment and parts [C21],Spain,New Brunswick,2020,75,0
Aircraft and other transportation equipment and parts [C21],Spain,Newfoundland and Labrador,2017,54741,470
Aircraft and other transportation equipment and parts [C21],Spain,Newfoundland and Labrador,2018,433,762
Aircraft and other transportation equipment and parts [C21],Spain,Newfoundland and Labrador,2019,11060,256
Aircraft and other transportation equipment and parts [C21],Spain,Newfoundland and Labrador,2020,55678,0
Aircraft and other transportation equipment and parts [C21],Spain,Northwest Territories,2017,0,0
Aircraft and other transportation equipment and parts [C21],Spain,Northwest Territories,2018,0,0
Aircraft and other transportation equipment and parts [C21],Spain,Northwest Territories,2019,0,0
Aircraft and other transportation equipment and parts [C21],Spain,Northwest Territories,2020,0,0
Aircraft and other transportation equipment and parts [C21],Spain,Nova Scotia,2017,1701,2
Aircraft and other transportation equipment and parts [C21],Spain,Nova Scotia,2018,651,0
Aircraft and other transportation equipment and parts [C21],Spain,Nova Scotia,2019,231,0
Aircraft and other transportation equipment and parts [C21],Spain,Nova Scotia,2020,29308,1
Aircraft and other transportation equipment and parts [C21],Spain,Nunavut,2017,0,0
Aircraft and other transportation equipment and parts [C21],Spain,Nunavut,2018,0,0
Aircraft and other transportation equipment and parts [C21],Spain,Nunavut,2019,0,0
Aircraft and other transportation equipment and parts [C21],Spain,Nunavut,2020,0,0
Aircraft and other transportation equipment and parts [C21],Spain,Ontario,2017,6091,18719
Aircraft and other transportation equipment and parts [C21],Spain,Ontario,2018,4501,71527
Aircraft and other transportation equipment and parts [C21],Spain,Ontario,2019,7097,8770
Aircraft and other transportation equipment and parts [C21],Spain,Ontario,2020,5949,6906
Aircraft and other transportation equipment and parts [C21],Spain,Prince Edward Island,2017,0,563
Aircraft and other transportation equipment and parts [C21],Spain,Prince Edward Island,2018,0,139
Aircraft and other transportation equipment and parts [C21],Spain,Prince Edward Island,2019,0,643
Aircraft and other transportation equipment and parts [C21],Spain,Prince Edward Island,2020,0,609
Aircraft and other transportation equipment and parts [C21],Spain,Quebec,2017,56269,233432
Aircraft and other transportation equipment and parts [C21],Spain,Quebec,2018,41135,243710
Aircraft and other transportation equipment and parts [C21],Spain,Quebec,2019,52124,53631
Aircraft and other transportation equipment and parts [C21],Spain,Quebec,2020,64786,65438
Aircraft and other transportation equipment and parts [C21],Spain,Saskatchewan,2017,0,0
Aircraft and other transportation equipment and parts [C21],Spain,Saskatchewan,2018,0,0
Aircraft and other transportation equipment and parts [C21],Spain,Saskatchewan,2019,0,0
Aircraft and other transportation equipment and parts [C21],Spain,Saskatchewan,2020,0,0
Aircraft and other transportation equipment and parts [C21],Spain,Yukon,2017,0,54
Aircraft and other transportation equipment and parts [C21],Spain,Yukon,2018,0,0
Aircraft and other transportation equipment and parts [C21],Spain,Yukon,2019,0,0
Aircraft and other transportation equipment and parts [C21],Spain,Yukon,2020,0,0
Aircraft and other transportation equipment and parts [C21],Switzerland,Alberta,2017,137,26401
Aircraft and other transportation equipment and parts [C21],Switzerland,Alberta,2018,534,37778
Aircraft and other transportation equipment and parts [C21],Switzerland,Alberta,2019,1136,51797
Aircraft and other transportation equipment and parts [C21],Switzerland,Alberta,2020,13567,68735
Aircraft and other transportation equipment and parts [C21],Switzerland,British Columbia,2017,483,1139
Aircraft and other transportation equipment and parts [C21],Switzerland,British Columbia,2018,5260,1715
Aircraft and other transportation equipment and parts [C21],Switzerland,British Columbia,2019,302,1286
Aircraft and other transportation equipment and parts [C21],Switzerland,British Columbia,2020,473,930
Aircraft and other transportation equipment and parts [C21],Switzerland,Canada,2017,77229,1013036
Aircraft and other transportation equipment and parts [C21],Switzerland,Canada,2018,126794,1060665
Aircraft and other transportation equipment and parts [C21],Switzerland,Canada,2019,113419,300466
Aircraft and other transportation equipment and parts [C21],Switzerland,Canada,2020,122550,259099
Aircraft and other transportation equipment and parts [C21],Switzerland,Manitoba,2017,468,595
Aircraft and other transportation equipment and parts [C21],Switzerland,Manitoba,2018,585,0
Aircraft and other transportation equipment and parts [C21],Switzerland,Manitoba,2019,673,480
Aircraft and other transportation equipment and parts [C21],Switzerland,Manitoba,2020,604,199
Aircraft and other transportation equipment and parts [C21],Switzerland,New Brunswick,2017,0,0
Aircraft and other transportation equipment and parts [C21],Switzerland,New Brunswick,2018,0,0
Aircraft and other transportation equipment and parts [C21],Switzerland,New Brunswick,2019,0,0
Aircraft and other transportation equipment and parts [C21],Switzerland,New Brunswick,2020,0,0
Aircraft and other transportation equipment and parts [C21],Switzerland,Newfoundland and Labrador,2017,3984,0
Aircraft and other transportation equipment and parts [C21],Switzerland,Newfoundland and Labrador,2018,0,0
