north_american_product_classification_system_napcs,principal_trading_partners,geo,year_month,import,export
Aircraft and other transportation equipment and parts [C21],All countries,Manitoba,2019,2750487,652509
Aircraft and other transportation equipment and parts [C21],All countries,Manitoba,2020,1830031,341426
Aircraft and other transportation equipment and parts [C21],All countries,New Brunswick,2017,82599,38403
Aircraft and other transportation equipment and parts [C21],All countries,New Brunswick,2018,123060,24659
Aircraft and other transportation equipment and parts [C21],All countries,New Brunswick,2019,108453,135525
Aircraft and other transportation equipment and parts [C21],All countries,New Brunswick,2020,49818,33258
Aircraft and other transportation equipment and parts [C21],All countries,Newfoundland and Labrador,2017,531778,9979
Aircraft and other transportation equipment and parts [C21],All countries,Newfoundland and Labrador,2018,232306,5868
Aircraft and other transportation equipment and parts [C21],All countries,Newfoundland and Labrador,2019,357992,8870
Aircraft and other transportation equipment and parts [C21],All countries,Newfoundland and Labrador,2020,1059118,8603
Aircraft and other transportation equipment and parts [C21],All countries,Northwest Territories,2017,5,58
Aircraft and other transportation equipment and parts [C21],All countries,Northwest Territories,2018,361,18
Aircraft and other transportation equipment and parts [C21],All countries,Northwest Territories,2019,59,1
Aircraft and other transportation equipment and parts [C21],All countries,Northwest Territories,2020,0,41
Aircraft and other transportation equipment and parts [C21],All countries,Nova Scotia,2017,517421,60192
Aircraft and other transportation equipment and parts [C21],All countries,Nova Scotia,2018,1024594,54190
Aircraft and other transportation equipment and parts [C21],All countries,Nova Scotia,2019,1319648,72781
Aircraft and other transportation equipment and parts [C21],All countries,Nova Scotia,2020,1484476,59626
Aircraft and other transportation equipment and parts [C21],All countries,Nunavut,2017,48481,0
Aircraft and other transportation equipment and parts [C21],All countries,Nunavut,2018,4152,11
Aircraft and other transportation equipment and parts [C21],All countries,Nunavut,2019,2793,74
Aircraft and other transportation equipment and parts [C21],All countries,Nunavut,2020,81,18
Aircraft and other transportation equipment and parts [C21],All countries,Ontario,2017,7215344,4293899
Aircraft and other transportation equipment and parts [C21],All countries,Ontario,2018,6572599,4954187
Aircraft and other transportation equipment and parts [C21],All countries,Ontario,2019,7161090,6656727
Aircraft and other transportation equipment and parts [C21],All countries,Ontario,2020,5274067,4816356
Aircraft and other transportation equipment and parts [C21],All countries,Prince Edward Island,2017,100,268792
Aircraft and other transportation equipment and parts [C21],All countries,Prince Edward Island,2018,28,342597
Aircraft and other transportation equipment and parts [C21],All countries,Prince Edward Island,2019,1108,247221
Aircraft and other transportation equipment and parts [C21],All countries,Prince Edward Island,2020,642,107289
Aircraft and other transportation equipment and parts [C21],All countries,Quebec,2017,7428263,12612238
Aircraft and other transportation equipment and parts [C21],All countries,Quebec,2018,9500989,14130206
Aircraft and other transportation equipment and parts [C21],All countries,Quebec,2019,10824980,14063794
Aircraft and other transportation equipment and parts [C21],All countries,Quebec,2020,8045395,11319839
Aircraft and other transportation equipment and parts [C21],All countries,Saskatchewan,2017,173434,7911
Aircraft and other transportation equipment and parts [C21],All countries,Saskatchewan,2018,213239,3024
Aircraft and other transportation equipment and parts [C21],All countries,Saskatchewan,2019,336172,10221
Aircraft and other transportation equipment and parts [C21],All countries,Saskatchewan,2020,200914,8492
Aircraft and other transportation equipment and parts [C21],All countries,Yukon,2017,2420,223
Aircraft and other transportation equipment and parts [C21],All countries,Yukon,2018,6084,0
Aircraft and other transportation equipment and parts [C21],All countries,Yukon,2019,3602,54
Aircraft and other transportation equipment and parts [C21],All countries,Yukon,2020,3026,105
Aircraft and other transportation equipment and parts [C21],Australia,Alberta,2017,166,8975
Aircraft and other transportation equipment and parts [C21],Australia,Alberta,2018,1213,1740
Aircraft and other transportation equipment and parts [C21],Australia,Alberta,2019,1791,6962
Aircraft and other transportation equipment and parts [C21],Australia,Alberta,2020,42,10727
Aircraft and other transportation equipment and parts [C21],Australia,British Columbia,2017,5134,4424
Aircraft and other transportation equipment and parts [C21],Australia,British Columbia,2018,8714,3782
Aircraft and other transportation equipment and parts [C21],Australia,British Columbia,2019,7666,4117
Aircraft and other transportation equipment and parts [C21],Australia,British Columbia,2020,6366,4480
Aircraft and other transportation equipment and parts [C21],Australia,Canada,2017,8044,118503
Aircraft and other transportation equipment and parts [C21],Australia,Canada,2018,13876,125887
Aircraft and other transportation equipment and parts [C21],Australia,Canada,2019,20684,149378
Aircraft and other transportation equipment and parts [C21],Australia,Canada,2020,25509,188648
Aircraft and other transportation equipment and parts [C21],Australia,Manitoba,2017,120,156
Aircraft and other transportation equipment and parts [C21],Australia,Manitoba,2018,115,273
Aircraft and other transportation equipment and parts [C21],Australia,Manitoba,2019,152,336
Aircraft and other transportation equipment and parts [C21],Australia,Manitoba,2020,102,216
Aircraft and other transportation equipment and parts [C21],Australia,New Brunswick,2017,18,0
Aircraft and other transportation equipment and parts [C21],Australia,New Brunswick,2018,0,31
Aircraft and other transportation equipment and parts [C21],Australia,New Brunswick,2019,0,0
Aircraft and other transportation equipment and parts [C21],Australia,New Brunswick,2020,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Newfoundland and Labrador,2017,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Newfoundland and Labrador,2018,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Newfoundland and Labrador,2019,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Newfoundland and Labrador,2020,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Northwest Territories,2017,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Northwest Territories,2018,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Northwest Territories,2019,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Northwest Territories,2020,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Nova Scotia,2017,2,0
Aircraft and other transportation equipment and parts [C21],Australia,Nova Scotia,2018,65,0
Aircraft and other transportation equipment and parts [C21],Australia,Nova Scotia,2019,931,86
Aircraft and other transportation equipment and parts [C21],Australia,Nova Scotia,2020,605,8
Aircraft and other transportation equipment and parts [C21],Australia,Nunavut,2017,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Nunavut,2018,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Nunavut,2019,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Nunavut,2020,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Ontario,2017,2073,12033
Aircraft and other transportation equipment and parts [C21],Australia,Ontario,2018,3305,23790
Aircraft and other transportation equipment and parts [C21],Australia,Ontario,2019,6879,21313
Aircraft and other transportation equipment and parts [C21],Australia,Ontario,2020,2187,15616
Aircraft and other transportation equipment and parts [C21],Australia,Prince Edward Island,2017,0,9124
Aircraft and other transportation equipment and parts [C21],Australia,Prince Edward Island,2018,0,9780
Aircraft and other transportation equipment and parts [C21],Australia,Prince Edward Island,2019,0,10712
Aircraft and other transportation equipment and parts [C21],Australia,Prince Edward Island,2020,0,7612
Aircraft and other transportation equipment and parts [C21],Australia,Quebec,2017,535,83719
Aircraft and other transportation equipment and parts [C21],Australia,Quebec,2018,463,86490
Aircraft and other transportation equipment and parts [C21],Australia,Quebec,2019,2754,105834
Aircraft and other transportation equipment and parts [C21],Australia,Quebec,2020,16209,149959
Aircraft and other transportation equipment and parts [C21],Australia,Saskatchewan,2017,0,71
Aircraft and other transportation equipment and parts [C21],Australia,Saskatchewan,2018,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Saskatchewan,2019,0,19
Aircraft and other transportation equipment and parts [C21],Australia,Saskatchewan,2020,0,30
Aircraft and other transportation equipment and parts [C21],Australia,Yukon,2017,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Yukon,2018,0,0
Aircraft and other transportation equipment and parts [C21],Australia,Yukon,2019,511,0
Aircraft and other transportation equipment and parts [C21],Australia,Yukon,2020,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Alberta,2017,29164,35
Aircraft and other transportation equipment and parts [C21],Belgium,Alberta,2018,5622,0
Aircraft and other transportation equipment and parts [C21],Belgium,Alberta,2019,204,2
Aircraft and other transportation equipment and parts [C21],Belgium,Alberta,2020,56,59
Aircraft and other transportation equipment and parts [C21],Belgium,British Columbia,2017,260,808
Aircraft and other transportation equipment and parts [C21],Belgium,British Columbia,2018,423,1229
Aircraft and other transportation equipment and parts [C21],Belgium,British Columbia,2019,317,202
